property,Unnamed: 0,SPECTROID,WIDTH,HEIGHT,WEIGHT,PAPER_SPECR_01,PAPER_SPECR_02,PAPER_SPECR_03,PAPER_SPECR_04,PAPER_SPECR_05,PAPER_SPECR_06,PAPER_SPECR_07,PAPER_SPECR_08,PAPER_SPECR_09,PAPER_SPECR_10,PAPER_SPECR_11,PAPER_SPECR_12,PAPER_SPECR_13,PAPER_SPECR_14,PAPER_SPECR_15,PAPER_SPECR_16,PAPER_SPECR_17,PAPER_SPECR_18,PAPER_SPECR_19,PAPER_SPECR_20,PAPER_SPECR_21,PAPER_SPECR_22,PAPER_SPECR_23,PAPER_SPECR_24,PAPER_SPECR_25,PAPER_SPECR_26,PAPER_SPECR_27,PAPER_SPECR_28,PAPER_SPECR_29,PAPER_SPECR_30,PAPER_SPECR_31,PAPER_SPECD_01,PAPER_SPECD_02,PAPER_SPECD_03,PAPER_SPECD_04,PAPER_SPECD_05,PAPER_SPECD_06,PAPER_SPECD_07,PAPER_SPECD_08,PAPER_SPECD_09,PAPER_SPECD_10,PAPER_SPECD_11,PAPER_SPECD_12,PAPER_SPECD_13,PAPER_SPECD_14,PAPER_SPECD_15,PAPER_SPECD_16,PAPER_SPECD_17,PAPER_SPECD_18,PAPER_SPECD_19,PAPER_SPECD_20,PAPER_SPECD_21,PAPER_SPECD_22,PAPER_SPECD_23,PAPER_SPECD_24,PAPER_SPECD_25,PAPER_SPECD_26,PAPER_SPECD_27,PAPER_SPECD_28,PAPER_SPECD_29,PAPER_SPECD_30,PAPER_SPECD_31,LAB_L,LAB_A,LAB_B,20120002.0,20120007.0,20120010.0,20220008.0,20220009.0,20220016.0,20220025.0,20220015.0,20220013.0,20220056.0,20220014.0,20120020.0,20120015.0,20120021.0,20120014.0,20120023.0,20120037.0,20220004.0,20220005.0,20220021.0,20220022.0,20220023.0,20120019.0,35120006.0,35120005.0,35120003.0,20120008.0,20120017.0,20120009.0,20220017.0,20120022.0,20120028.0,20120001.0,20120006.0,20120005.0,20120027.0,20220018.0,20120035.0,20220010.0,35120018.0,DS244(주문잉크),20220012.0,20220027.0,20220006.0,20120054.0,20120036.0,20220007.0,20120062.0,20120004.0,20120040.0,20220024.0,20120039.0,20120059.0,35120002.0,35120029.0,궁중베다,SPECR_01,SPECR_02,SPECR_03,SPECR_04,SPECR_05,SPECR_06,SPECR_07,SPECR_08,SPECR_09,SPECR_10,SPECR_11,SPECR_12,SPECR_13,SPECR_14,SPECR_15,SPECR_16,SPECR_17,SPECR_18,SPECR_19,SPECR_20,SPECR_21,SPECR_22,SPECR_23,SPECR_24,SPECR_25,SPECR_26,SPECR_27,SPECR_28,SPECR_29,SPECR_30,SPECR_31
count,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0,6001.0
mean,3161.4379270121644,24082.37477087152,517.7025495750709,623.4235960673221,326.173804365939,55.64400666555574,62.22866548908515,68.5735209631728,72.45330739876687,73.82286647225463,74.19456610564906,74.2474961006499,74.19242467922012,74.34866635560739,74.37380013331112,74.32168273621063,74.03723687718714,73.76963351108148,73.5085910848192,73.40215364105983,73.23083401099817,73.11778538576904,73.23951816363939,73.62482259623395,74.18665870688218,74.45967843692718,74.77701149808365,75.24814714214297,75.80543912681219,76.40459923346108,77.3298730878187,77.65586023996,77.81281321446426,77.90187233794367,78.00438563572737,78.08876942176305,0.37650711714714213,0.3179408281953008,0.280005525745709,0.25569975607398765,0.24832409649391768,0.24784676220629892,0.24852658056990504,0.2490929078486919,0.24780225295784034,0.24774808031994666,0.2487834894184303,0.25042958506915514,0.2521914764205966,0.25380820029995,0.2552692101316447,0.2562603832694551,0.2570529928345276,0.25658970671554737,0.254416373937677,0.2509204349275121,0.24981372104649224,0.24847309448425264,0.24659540743209465,0.24423833861023161,0.24175038826862189,0.2371718296950508,0.23611272287952004,0.2354792384602566,0.23527125479086816,0.23469249958340277,0.23434254624229295,56.22004330944843,12.753152491251457,12.334462672887854,97.20579903349442,54.08515247458757,8.08198633561073,93.27495417430428,135.3699383436094,193.6328945175804,375.887352107982,56.77203799366772,67.5595734044326,162.60623229461757,91.6827195467422,5.698550241626395,150.2837860356607,79.00366605565739,59.076987168805196,1.5622396267288785,339.4139310114981,3.3884352607898682,39.75754040993168,5.066155640726546,5.904515914014331,9.643559406765538,17.947842026328946,0.0,0.0,0.0,2.68788535244126,0.09265122479586736,19.191134810864856,15.55474087652058,4.768205299116814,7.133311114814197,6.323112814530911,0.08565239126812198,1.5164139310114981,14.140809865022495,1.533077820363273,43.26862189635061,0.6675554074320946,4.332611231461423,0.0,7.493417763706049,0.4165972337943676,5.1729711714714215,0.004999166805532411,3.7270454924179304,12.146642226295617,0.1516413931011498,1.981669721713048,0.16663889351774705,1.9650058323612731,0.3332777870354941,0.04165972337943676,0.0,0.0,0.6665555740709882,18.291186285619066,20.68029410098317,22.455165705715714,23.84548293617731,24.68353869355108,25.24553961006499,25.406971788035328,25.179057357107148,25.236221713047822,26.17298713547742,27.868478770204963,29.053600149975004,29.074981086485586,28.565085519080153,28.179853474420934,28.027216930511585,28.396329845025832,29.677227928678555,32.404232277953675,36.49976477253791,39.56056020663223,41.27763941009832,42.2322571238127,42.94866500583236,43.65598428595234,44.67651491418097,45.47848080319946,46.01397297117147,46.21740529911681,46.29891269788368,46.22974905849025
std,1817.0952571401706,14304.764149518745,115.60324537759274,119.07839659848527,72.56686539788244,23.008746456809252,22.84171112494743,24.200147956644336,25.58005252097114,26.090337070086804,26.166867306313232,26.141072860391137,26.087643604337906,26.09686776873934,26.058393326214556,25.999977727181328,25.87674929448954,25.78443053199841,25.70007660320462,25.675657872334785,25.605482610548954,25.559955448528036,25.588823420710654,25.683989706294255,25.833743261510737,25.91270600047169,26.033205605965644,26.225379931178924,26.456746497164428,26.706599063410827,27.062170105515758,27.19045614502428,27.260093464832135,27.303337334781826,27.346686058657646,27.396056572316873,0.47155313648169184,0.4590781513512675,0.4777353928567163,0.47577634673789465,0.4781327225342547,0.4839503367072889,0.4872510865401658,0.48817934783054856,0.48731920055779665,0.48793423264040503,0.49062345290200776,0.49077937708425684,0.49158460519001185,0.4919090175482256,0.4945090649446607,0.49449632822626005,0.4951252012299261,0.496246290547695,0.4971438054652961,0.4971356818878465,0.4990767051381997,0.5007144879274408,0.5033703232824432,0.5058522788339721,0.5085879460091105,0.5105317835386141,0.5129733341739295,0.5137552528986962,0.5146832331741295,0.51474507133297,0.515074826759584,24.023776988378945,25.55889307959699,28.453913709151504,342.8657042337407,217.8898940164831,142.5120016365422,288.8952377378382,418.90911598596915,460.2729219833638,859.2269684479983,251.489993223049,462.7025007050981,601.6974376056058,366.98496651725327,76.68791699412529,385.75443391540796,259.50855089294805,257.81968777678975,26.282519550388802,690.9950829293659,53.70607283695066,246.63543953958185,102.93169153716347,67.13529658783415,102.49909639729438,134.39902943260307,0.0,0.0,0.0,60.412496512538866,4.029153879724904,154.87286278771367,220.79233616969216,65.34772193628363,119.6380035434032,85.97064468395847,3.4436408705246877,49.99366732101811,110.99348480553866,39.59355099855838,299.4167967292147,30.612785381922325,122.39781595817118,0.0,115.44993286413641,17.07316855436972,63.564524246264924,0.22355089837880848,62.56811341851985,133.12595724528512,9.736203968798431,46.42346027543508,12.90886879311069,40.244512361365906,18.254375933941287,3.227217198277673,0.0,0.0,51.63547517244277,17.34490715467195,19.136390304050167,21.149422424374393,22.514891711241077,23.248307003644356,23.689563058560037,23.85274088303129,23.805850957907165,23.836810828846144,24.087948642579022,24.688922167339598,25.411687218537296,25.79623890236735,25.7541379449048,25.677044918445507,25.722427852435118,26.19359740480596,27.22011502292382,28.244237247363984,28.87055987795339,29.561194257708358,30.39817157840136,31.014152526424386,31.404838798988372,31.696981393932155,32.03204525740251,32.06484892883137,32.04072897188118,32.034152093833626,32.07305940860375,32.16217897788705
min,0.0,2.0,350.0,364.0,100.0,0.3032,0.5071,0.5246,0.6481,0.5821,0.5374,0.564,0.5661,0.5479,0.4624,0.4095,0.4238,0.4336,0.4899,0.5536,0.5559,0.5358,0.5257,0.512,0.5147,0.5072,0.5014,0.4849,0.4907,0.4727,0.4701,0.4666,0.4648,0.4634,0.4608,0.4543,0.06272,0.07689,0.03119,0.0004696,2.506e-05,0.01085,0.02231,0.02763,0.0301899999999999,0.0272399999999999,0.02533,0.024,0.02196,0.02069,0.0194599999999999,0.01944,0.01842,0.01765,0.01659,0.0155199999999999,0.0153,0.01542,0.01443,0.0147199999999999,0.01414,0.01232,0.01192,0.01213,0.01167,0.0115,0.01177,4.9353,-77.6359,-69.4802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2184,0.5188,0.3739,0.6047,0.6433,0.6087,0.5935,0.5803,0.5118,0.4589999999999999,0.3774,0.3785,0.3529,0.3477,0.3595,0.3841,0.4422,0.4701,0.4433,0.4424,0.4357,0.4267,0.4283,0.4356,0.4374,0.4199,0.4131,0.4162,0.3993,0.3987,0.4105
25%,1594.0,11397.0,435.0,535.0,300.0,42.5011,57.5228,65.2973,69.2855,70.5141,70.7098,70.6256,70.5584,70.7275,70.9451,71.7383,71.7458,71.5936,71.3881,71.4225,71.5111,71.4428,71.5673,72.0932,72.8362,73.3865,73.9641,74.5086,75.3178,76.1314,77.164,77.7136,77.9311,78.1775,78.4572,78.7325,0.1316,0.1083,0.08385,0.06597,0.05735,0.05245,0.04992,0.04948,0.04821,0.04775,0.04811,0.04933,0.05039,0.05157,0.05212,0.05327,0.05388,0.05332,0.05144,0.0483,0.04688,0.04464,0.0415899999999999,0.03789,0.03465,0.02974,0.02812,0.02711,0.02669,0.0264,0.02567,35.0287,0.5003,0.3002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0083,4.4061,4.2885,4.5176,4.6527,4.7315,4.7185,4.7707,5.1705,5.7486,5.7258,5.3579,4.8034,4.4536,4.284,4.2372,4.2454,4.5757,6.114,8.6884,9.6421,9.6443,9.777,10.1177,10.5516,11.286,12.0618,12.6416,12.9748,13.0533,13.0412
50%,3162.0,23771.0,500.0,630.0,350.0,63.2222,71.387,78.3828,82.2576,83.4974,84.4739,85.2331,85.7764,86.3832,86.6628,86.9321,86.8479,86.6259,86.2317,86.0101,85.7408,85.4958,85.4978,85.91,86.4352,86.6997,87.2367,88.0915,88.9646,89.8074,90.9558,91.1828,91.1019,91.1435,91.4403,91.8206,0.1991,0.1464,0.1058,0.08482,0.07833,0.07328,0.06939,0.06663,0.06357,0.06217,0.06082,0.0612399999999999,0.06235,0.06433,0.06545,0.06681,0.06806,0.06805,0.06596,0.06331,0.0619799999999999,0.0593,0.05507,0.05078,0.0466899999999999,0.04117,0.04009,0.04047,0.04027,0.03886,0.03706,57.6907,7.8647,10.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1782,13.0977,14.1663,14.8708,15.5323,15.7712,15.5371,14.833,14.5184,15.6849,19.9416,21.7924,20.9701,20.4262,19.6856,19.2534,19.4472,20.102,23.1277,30.4628,37.176,40.8857,42.9333,44.077,45.2845,46.8813,48.0723,48.5127,48.7313,48.6703,48.4389
75%,4755.0,35252.0,600.0,715.0,350.0,73.8635,77.9261,82.4418,85.9066,87.6285,88.6237,89.14200000000001,89.2322,89.4928,89.5874,89.5132,89.26299999999999,89.0461,88.8026,88.6912,88.45700000000001,88.3323,88.447,88.8304,89.4742,89.7687,90.231,90.8685,91.6447,92.3322,93.3811,93.7292,93.9492,94.0391,94.1029,94.2609,0.3716,0.2402,0.1851,0.1594,0.1517,0.1505,0.151,0.1515,0.1504,0.1491,0.1442,0.1442,0.1451,0.1464,0.1462,0.1456,0.146,0.1453,0.1421,0.1377,0.1344,0.131,0.1278,0.1231,0.1184,0.1126,0.1095,0.1083,0.1069,0.1054,0.1038,77.5403,22.7585,27.1433,4.0,0.0,0.0,30.0,25.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7067,34.5411,38.2746,40.6798,42.4091,43.8411,43.8558,43.3115,43.2284,44.6718,47.4723,50.468,51.7454,50.8248,49.7991,48.5521,49.5117,52.8199,57.43899999999999,62.6953,66.5227,70.5283,71.8413,72.8562,73.8403,75.2831,76.293,76.7786,77.0967,77.3346,77.3996
max,6296.0,55155.0,1025.0,1050.0,500.0,86.553,83.7736,93.0709,99.8919,99.9942,97.5332,94.9929,93.836,93.2856,93.9209,94.3335,94.6246,95.0683,95.347,95.6191,95.6226,95.8469,96.0174,96.2522,96.4887,96.5383,96.511,96.7314,96.6674,96.796,97.2021,97.2932,97.2445,97.3477,97.3859,97.3259,2.518,2.295,2.28,2.188,2.235,2.27,2.249,2.247,2.261,2.335,2.388,2.373,2.363,2.31,2.257,2.255,2.271,2.279,2.291,2.2880000000000003,2.295,2.3,2.314,2.309,2.325,2.3280000000000003,2.331,2.333,2.334,2.336,2.343,96.289,77.8749,103.867,3000.0,2180.0,4000.0,3500.0,5000.0,6000.0,7000.0,4000.0,7000.0,6000.0,4500.0,2000.0,4000.0,3000.0,5000.0,1396.0,6000.0,2000.0,5000.0,4000.0,1200.0,2000.0,3000.0,0.0,0.0,0.0,2000.0,180.0,3750.0,4000.0,1914.0,3000.0,3000.0,200.0,3000.0,2000.0,1100.0,4400.0,2300.0,4000.0,0.0,3000.0,1000.0,2000.0,10.0,2000.0,3000.0,750.0,2076.0,1000.0,1000.0,1000.0,250.0,0.0,0.0,4000.0,77.6486,80.3977,83.5363,86.3942,87.821,88.7871,89.6553,89.9907,90.4774,90.7391,90.7152,90.392,90.0936,89.8157,89.7974,90.1137,90.7523,91.632,92.5683,93.4447,93.8296,94.1802,94.5388,94.6283,94.6259,95.4324,95.9328,96.3509,96.6326,96.6588,96.4006
sckewness,-,0.19393565685156436,0.6489991121426618,-0.0682186988213383,-1.178978352345829,-1.1079878584109006,-1.681629828335774,-1.9791928059378414,-1.9741357227832474,-1.970853536615831,-1.999315612483426,-2.0203540093714802,-2.031016177635681,-2.0388459782297303,-2.0482593811561025,-2.057309666043993,-2.058123018512304,-2.051586254655662,-2.0453283900397485,-2.045332851883982,-2.0468426160240667,-2.044587648792444,-2.0449505370158003,-2.050990661504435,-2.0571640062673087,-2.059665061184624,-2.057808008440604,-2.053304352832456,-2.0488653245841686,-2.0457930213067113,-2.043159718779384,-2.043939994648534,-2.0413036448410358,-2.038756189965285,-2.035312883550155,-2.0294438021321146,2.5169294097740846,2.6655785163607852,2.7188196220572873,2.7027026459752346,2.704848968312526,2.712904892004024,2.7146981909211925,2.7157661331363245,2.719403441941886,2.7227915214525837,2.7280343545677574,2.7299772864506333,2.7335367281626235,2.734891676056895,2.735298793678574,2.7353892643849647,2.7393544383198973,2.744066832546866,2.752029231819913,2.760101852233402,2.7664027916263114,2.767365290198997,2.76840037636234,2.7668851742545773,2.7660989969405954,2.766569106525062,2.7678345367161885,2.768831314879251,2.7696672306766934,2.7712794310197966,2.771179666204543,-0.16773440043753002,0.3537764568764886,0.04711184144532281,4.704379287908631,5.012472856036073,22.301692729215535,5.126798029163893,5.076811783174656,3.794170195518916,2.810312760499647,7.396210702089328,9.374936807583063,4.3344572160168955,6.200983423435972,14.641920978363204,3.5691096322241678,5.241814328367058,7.681592293019794,33.23419392391893,2.6930270300718617,23.586531820464398,10.832570345025053,32.517022511997126,13.83630632462581,13.906995329040889,10.118901719006512,0.0,0.0,0.0,26.808589106102627,44.53688710781636,14.413054968768986,16.98378761084694,16.19074822276652,22.440810380100977,18.360435034007462,45.69792048386284,43.941676860947865,10.748868698923877,25.836719282171426,9.005738104025951,71.04894906060323,29.534539723355838,0.0,21.195930357608116,45.9899296775982,16.631888446663766,44.702715553856706,22.557040458335056,13.40417863108122,76.20886050295262,35.461321298594186,77.46612162745721,22.408525902457267,54.763121715003095,77.46612162745718,0.0,0.0,77.46612162745721,0.9837643713900369,0.8567163685815486,0.8320327272668111,0.8322060229341977,0.8141734943313528,0.7950077072371923,0.7912050500966681,0.8067283939422173,0.8182820719198817,0.786243033634265,0.6789014558929601,0.5716831193622197,0.5503774001480052,0.569745320727595,0.5912387764030866,0.6072117394175458,0.6103484578402102,0.5845911173970075,0.5014498644307986,0.33888290330603826,0.17795470028292104,0.09764850223152005,0.07428899815199452,0.06396724651466196,0.053687327377465406,0.038040219890154055,0.017327509196406347,0.0030759767298633883,-0.0005391459292901074,0.0005962332186091874,0.006631825869001019
